pincode,area,district,state,region_type,fdh_id,mst_id,olt_id,serviceable,max_speed_available_mbps
110052,Delhi,North West,Delhi,urban,FDH-00050,MST-00050,OLT-00050,True,500
110053,Na,North East,Delhi,rural,FDH-00051,MST-00051,OLT-00051,False,500
110054,North,Central,Delhi,rural,FDH-00052,MST-00052,OLT-00052,False,100
110055,New Delhi,Central,Delhi,urban,FDH-00053,MST-00053,OLT-00053,True,1000
110056,Delhi,North West,Delhi,urban,FDH-00054,MST-00054,OLT-00054,True,1000
110057,Na,New Delhi,Delhi,urban,FDH-00055,MST-00055,OLT-00055,True,50
110058,New Delhi,West,Delhi,urban,FDH-00056,MST-00056,OLT-00056,True,50
110059,New Delhi,West,Delhi,urban,FDH-00057,MST-00057,OLT-00057,False,1000
110060,New Delhi,Central,Delhi,urban,FDH-00058,MST-00058,OLT-00058,True,200
110061,Na,South West,Delhi,rural,FDH-00059,MST-00059,OLT-00059,False,500
110062,New Delhi,South,Delhi,urban,FDH-00060,MST-00060,OLT-00060,True,500
110063,New Delhi,West,Delhi,urban,FDH-00061,MST-00061,OLT-00061,True,1000
110064,New Delhi,West,Delhi,urban,FDH-00062,MST-00062,OLT-00062,True,100
110065,New Delhi,South East,Delhi,urban,FDH-00063,MST-00063,OLT-00063,True,500
110066,Na,New Delhi,Delhi,urban,FDH-00064,MST-00064,OLT-00064,True,1000
110067,Na,New Delhi,Delhi,urban,FDH-00065,MST-00065,OLT-00065,True,200
110068,Na,South,Delhi,rural,FDH-00066,MST-00066,OLT-00066,False,50
110069,New Delhi,New Delhi,Delhi,urban,FDH-00067,MST-00067,OLT-00067,True,1000
110070,Na,New Delhi,Delhi,urban,FDH-00068,MST-00068,OLT-00068,True,500
110071,New Delhi,South West,Delhi,urban,FDH-00069,MST-00069,OLT-00069,True,100
110072,Na,South West,Delhi,rural,FDH-00070,MST-00070,OLT-00070,False,100
110073,Na,South West,Delhi,rural,FDH-00071,MST-00071,OLT-00071,True,50
110074,Na,South,Delhi,suburban,FDH-00072,MST-00072,OLT-00072,True,1000
110075,New Delhi,South West,Delhi,urban,FDH-00073,MST-00073,OLT-00073,True,100
110076,New Delhi,South,Delhi,urban,FDH-00074,MST-00074,OLT-00074,True,1000
110077,New Delhi,South West,Delhi,urban,FDH-00075,MST-00075,OLT-00075,True,100
110078,Na,South West,Delhi,urban,FDH-00076,MST-00076,OLT-00076,True,500
110080,South Delhi,South,Delhi,urban,FDH-00077,MST-00077,OLT-00077,True,1000
110081,Delhi,North West,Delhi,urban,FDH-00078,MST-00078,OLT-00078,True,100
110082,Delhi,North,Delhi,urban,FDH-00079,MST-00079,OLT-00079,True,500
110083,Delhi,North West,Delhi,urban,FDH-00080,MST-00080,OLT-00080,True,1000
110084,Delhi,Central,Delhi,urban,FDH-00081,MST-00081,OLT-00081,True,1000
110085,Na,North West,Delhi,rural,FDH-00082,MST-00082,OLT-00082,False,50
110086,Delhi,North West,Delhi,urban,FDH-00083,MST-00083,OLT-00083,True,200
110087,New Delhi,West,Delhi,urban,FDH-00084,MST-00084,OLT-00084,True,500
110088,Delhi,North,Delhi,urban,FDH-00085,MST-00085,OLT-00085,True,200
110089,Na,North West,Delhi,rural,FDH-00086,MST-00086,OLT-00086,False,100
110090,East Delhi,North East,Delhi,urban,FDH-00087,MST-00087,OLT-00087,True,500
110091,Na,East,Delhi,rural,FDH-00088,MST-00088,OLT-00088,False,200
110092,Na,East,Delhi,urban,FDH-00089,MST-00089,OLT-00089,False,1000
110093,Na,North East,Delhi,rural,FDH-00090,MST-00090,OLT-00090,False,50
110094,Na,North East,Delhi,rural,FDH-00091,MST-00091,OLT-00091,True,100
110095,Na,Shahdara,Delhi,urban,FDH-00092,MST-00092,OLT-00092,True,1000
110096,Na,East,Delhi,rural,FDH-00093,MST-00093,OLT-00093,False,1000
110097,Na,South West,Delhi,urban,FDH-00094,MST-00094,OLT-00094,True,1000
121001,Faridabad,Faridabad,Haryana,urban,FDH-00095,MST-00095,OLT-00095,True,1000
121002,Faridabad,Faridabad,Haryana,urban,FDH-00096,MST-00096,OLT-00096,True,1000
121003,Faridabad,Faridabad,Haryana,urban,FDH-00097,MST-00097,OLT-00097,True,500
121004,Ballabgarh,Faridabad,Haryana,urban,FDH-00098,MST-00098,OLT-00098,True,1000
121005,Faridabad,Faridabad,Haryana,urban,FDH-00099,MST-00099,OLT-00099,True,500
121006,Ballabgarh,Faridabad,Haryana,suburban,FDH-00100,MST-00100,OLT-00100,True,50
121007,Faridabad,Faridabad,Haryana,suburban,FDH-00101,MST-00101,OLT-00101,True,200
121008,Faridabad,Faridabad,Haryana,suburban,FDH-00102,MST-00102,OLT-00102,True,200
121009,Faridabad,Faridabad,Haryana,urban,FDH-00103,MST-00103,OLT-00103,False,200
121010,Faridabad,Faridabad,Haryana,suburban,FDH-00104,MST-00104,OLT-00104,True,100
121011,Gurukul Indraprashtha,Faridabad,Haryana,suburban,FDH-00105,MST-00105,OLT-00105,True,100
121012,Faridabad,Faridabad,Haryana,suburban,FDH-00106,MST-00106,OLT-00106,True,200
121013,Faridabad,Faridabad,Haryana,suburban,FDH-00107,MST-00107,OLT-00107,False,50
121101,Ballabgarh,Faridabad,Haryana,rural,FDH-00108,MST-00108,OLT-00108,False,500
121102,Palwal,Palwal,Haryana,suburban,FDH-00109,MST-00109,OLT-00109,False,100
121103,Hathin,Palwal,Haryana,rural,FDH-00110,MST-00110,OLT-00110,False,200
121104,Baded,Gurgaon,Haryana,urban,FDH-00111,MST-00111,OLT-00111,True,1000
121105,Palwal,Palwal,Haryana,suburban,FDH-00112,MST-00112,OLT-00112,True,500
121106,Hodal,Palwal,Haryana,rural,FDH-00113,MST-00113,OLT-00113,False,500
121107,Hodal,Palwal,Haryana,rural,FDH-00114,MST-00114,OLT-00114,True,50
121705,Ardauna,Mau,Uttar Pradesh,rural,FDH-00115,MST-00115,OLT-00115,False,100
122001,Arjun Nagar,Gurugram,Haryana,urban,FDH-00116,MST-00116,OLT-00116,True,200
122002,Na,Gurugram,Haryana,urban,FDH-00117,MST-00117,OLT-00117,True,200
122003,Sector -45,Gurugram,Haryana,urban,FDH-00118,MST-00118,OLT-00118,True,1000
122004,Na,Gurugram,Haryana,urban,FDH-00119,MST-00119,OLT-00119,True,100
122005,Air Force,Gurugram,Haryana,urban,FDH-00120,MST-00120,OLT-00120,True,200
122006,Na,Gurugram,Haryana,urban,FDH-00121,MST-00121,OLT-00121,True,1000
122007,Industrial Estate,Gurugram,Haryana,urban,FDH-00122,MST-00122,OLT-00122,True,200
122008,Dlf Ph-Ii,Gurugram,Haryana,urban,FDH-00123,MST-00123,OLT-00123,True,500
122009,Galleria Dlf-Iv,Gurugram,Haryana,urban,FDH-00124,MST-00124,OLT-00124,True,50
122010,Dlf Ph-Iii,Gurugram,Haryana,urban,FDH-00125,MST-00125,OLT-00125,True,1000
122011,Na,Gurugram,Haryana,urban,FDH-00126,MST-00126,OLT-00126,False,500
122015,Palam Road,Gurugram,Haryana,urban,FDH-00127,MST-00127,OLT-00127,True,500
122016,Na,Gurugram,Haryana,urban,FDH-00128,MST-00128,OLT-00128,True,100
122017,Na,Gurugram,Haryana,urban,FDH-00129,MST-00129,OLT-00129,True,1000
122018,Na,Gurugram,Haryana,urban,FDH-00130,MST-00130,OLT-00130,True,1000
122051,Na,Gurugram,Haryana,urban,FDH-00131,MST-00131,OLT-00131,True,200
122052,Manesar,Gurugram,Haryana,urban,FDH-00132,MST-00132,OLT-00132,True,100
122100,Industrial Area dharuhera,Rewari,Haryana,suburban,FDH-00133,MST-00133,OLT-00133,False,200
122101,Badshahpur,Gurugram,Haryana,urban,FDH-00134,MST-00134,OLT-00134,True,200
122102,Bhondsi,Gurugram,Haryana,urban,FDH-00135,MST-00135,OLT-00135,False,1000
122103,Na,Nuh,Haryana,urban,FDH-00136,MST-00136,OLT-00136,True,1000
122104,Na,Nuh,Haryana,rural,FDH-00137,MST-00137,OLT-00137,False,50
122105,Tauru,Nuh,Haryana,urban,FDH-00138,MST-00138,OLT-00138,True,1000
122106,Dungerwas,Gurgaon,Haryana,urban,FDH-00139,MST-00139,OLT-00139,True,200
122107,Na,Nuh,Haryana,suburban,FDH-00140,MST-00140,OLT-00140,True,500
122108,Na,Nuh,Haryana,urban,FDH-00141,MST-00141,OLT-00141,True,1000
122413,Bhorakalan,Gurugram,Haryana,urban,FDH-00142,MST-00142,OLT-00142,True,200
122414,Na,Gurugram,Haryana,urban,FDH-00143,MST-00143,OLT-00143,True,200
122502,Na,Gurugram,Haryana,urban,FDH-00144,MST-00144,OLT-00144,True,200
122503,Na,Gurugram,Haryana,urban,FDH-00145,MST-00145,OLT-00145,True,1000
122504,Haillymandi,Gurugram,Haryana,urban,FDH-00146,MST-00146,OLT-00146,False,200
122505,Na,Gurugram,Haryana,urban,FDH-00147,MST-00147,OLT-00147,True,500
122506,Farrukh Nagar,Gurugram,Haryana,urban,FDH-00148,MST-00148,OLT-00148,False,500
122508,Na,Nuh,Haryana,urban,FDH-00149,MST-00149,OLT-00149,True,1000
123001,Azamabad Mukhota,Mahendragarh,Haryana,rural,FDH-00150,MST-00150,OLT-00150,False,50
123003,Baslambi,Gurgaon,Haryana,urban,FDH-00151,MST-00151,OLT-00151,True,500
123021,Mandi Ateli,Mahendragarh,Haryana,suburban,FDH-00152,MST-00152,OLT-00152,True,200
123023,Akberpur,Mahendragarh,Haryana,rural,FDH-00153,MST-00153,OLT-00153,False,100
123024,Barda,Mahendragarh,Haryana,rural,FDH-00154,MST-00154,OLT-00154,False,50
123027,Baghot,Mahendragarh,Haryana,urban,FDH-00155,MST-00155,OLT-00155,True,1000
123028,Bairawas,Mahendragarh,Haryana,suburban,FDH-00156,MST-00156,OLT-00156,True,100
123029,Akoda,Mahendragarh,Haryana,rural,FDH-00157,MST-00157,OLT-00157,False,50
123034,Bawania,Mahendragarh,Haryana,rural,FDH-00158,MST-00158,OLT-00158,False,200
123035,Rewari,Rewari,Haryana,urban,FDH-00159,MST-00159,OLT-00159,True,500
123101,Basbatori,Rewari,Haryana,rural,FDH-00160,MST-00160,OLT-00160,False,50
123102,Ahrod,Rewari,Haryana,rural,FDH-00161,MST-00161,OLT-00161,False,200
123103,Rewari,Rewari,Haryana,suburban,FDH-00162,MST-00162,OLT-00162,True,100
123106,Bhatsana,Rewari,Haryana,rural,FDH-00163,MST-00163,OLT-00163,True,50
123110,Dharuhera,Rewari,Haryana,rural,FDH-00164,MST-00164,OLT-00164,False,200
123301,Guriani,Rewari,Haryana,rural,FDH-00165,MST-00165,OLT-00165,False,50
123302,Bhakli,Rewari,Haryana,rural,FDH-00166,MST-00166,OLT-00166,False,200
123303,Bawwa,Rewari,Haryana,rural,FDH-00167,MST-00167,OLT-00167,True,100
123305,Bahu,Jhajjar,Haryana,suburban,FDH-00168,MST-00168,OLT-00168,True,500
123401,B B Ashram,Rewari,Haryana,suburban,FDH-00169,MST-00169,OLT-00169,True,100
123411,Rewari,Rewari,Haryana,urban,FDH-00170,MST-00170,OLT-00170,True,200
123412,Rewari,Rewari,Haryana,urban,FDH-00171,MST-00171,OLT-00171,True,100
123413,Bhorakalan,Gurgaon,Haryana,urban,FDH-00172,MST-00172,OLT-00172,True,500
123414,Inchhapuri,Gurgaon,Haryana,urban,FDH-00173,MST-00173,OLT-00173,True,1000
123501,Bawal,Rewari,Haryana,rural,FDH-00174,MST-00174,OLT-00174,True,200
123502,Cheelarh,Gurgaon,Haryana,urban,FDH-00175,MST-00175,OLT-00175,True,1000
123504,Haillymandi,Gurgaon,Haryana,urban,FDH-00176,MST-00176,OLT-00176,True,100
123505,Bhangrola,Gurgaon,Haryana,urban,FDH-00177,MST-00177,OLT-00177,True,200
123506,Farrukh Nagar,Gurgaon,Haryana,urban,FDH-00178,MST-00178,OLT-00178,False,500
124001,Rohak,Rohtak,Haryana,rural,FDH-00179,MST-00179,OLT-00179,True,200
124010,Rohtak,Rohtak,Haryana,urban,FDH-00180,MST-00180,OLT-00180,True,1000
124021,Rohtak,Jhajjar,Haryana,urban,FDH-00181,MST-00181,OLT-00181,True,1000
124022,Rohtak,Rohtak,Haryana,suburban,FDH-00182,MST-00182,OLT-00182,True,500
124102,Jhajjar,Jhajjar,Haryana,urban,FDH-00183,MST-00183,OLT-00183,True,500
124103,Jhajjar,Jhajjar,Haryana,suburban,FDH-00184,MST-00184,OLT-00184,False,200
124104,Jhajjar,Jhajjar,Haryana,urban,FDH-00185,MST-00185,OLT-00185,True,500
124105,Jhajjar,Jhajjar,Haryana,suburban,FDH-00186,MST-00186,OLT-00186,True,200
124106,Jhajjar,Jhajjar,Haryana,urban,FDH-00187,MST-00187,OLT-00187,True,200
124107,Jhajjar,Jhajjar,Haryana,urban,FDH-00188,MST-00188,OLT-00188,True,500
124108,Jhajjar,Jhajjar,Haryana,urban,FDH-00189,MST-00189,OLT-00189,True,1000
124109,Jhajjar,Jhajjar,Haryana,suburban,FDH-00190,MST-00190,OLT-00190,True,200
124111,Rohtak,Rohtak,Haryana,urban,FDH-00191,MST-00191,OLT-00191,True,200
124112,Mehem,Rohtak,Haryana,rural,FDH-00192,MST-00192,OLT-00192,False,100
124113,Rohtak,Rohtak,Haryana,suburban,FDH-00193,MST-00193,OLT-00193,False,500
124141,Rohtak,Jhajjar,Haryana,rural,FDH-00194,MST-00194,OLT-00194,True,100
124142,Jhajjar,Jhajjar,Haryana,suburban,FDH-00195,MST-00195,OLT-00195,False,1000
124146,Jhajjar,Jhajjar,Haryana,urban,FDH-00196,MST-00196,OLT-00196,True,500
124201,Jhajjar,Jhajjar,Haryana,suburban,FDH-00197,MST-00197,OLT-00197,True,100
124202,Jhajjar,Rohtak,Haryana,rural,FDH-00198,MST-00198,OLT-00198,True,50
124303,Rohtak,Rohtak,Haryana,suburban,FDH-00199,MST-00199,OLT-00199,True,100
124401,Rohtak,Rohtak,Haryana,urban,FDH-00200,MST-00200,OLT-00200,True,500
124404,Bahadurgarh,Rohtak,Haryana,rural,FDH-00201,MST-00201,OLT-00201,False,100
124406,Rohtak,Rohtak,Haryana,urban,FDH-00202,MST-00202,OLT-00202,True,100
124411,Rohtak,Rohtak,Haryana,urban,FDH-00203,MST-00203,OLT-00203,True,500
124412,Rohtak,Rohtak,Haryana,urban,FDH-00204,MST-00204,OLT-00204,True,1000
124416,Baliana,Rohtak,Haryana,rural,FDH-00205,MST-00205,OLT-00205,False,200
124501,Rohtak,Rohtak,Haryana,urban,FDH-00206,MST-00206,OLT-00206,True,50
124504,Bahadurgarh,Jhajjar,Haryana,rural,FDH-00207,MST-00207,OLT-00207,False,50
124505,Bahadurgarh,Jhajjar,Haryana,suburban,FDH-00208,MST-00208,OLT-00208,False,200
124506,Bahadurgarh,Jhajjar,Haryana,suburban,FDH-00209,MST-00209,OLT-00209,False,100
124507,Bahadurgarh,Jhajjar,Haryana,rural,FDH-00210,MST-00210,OLT-00210,True,50
124508,Bahadurgarh,Jhajjar,Haryana,suburban,FDH-00211,MST-00211,OLT-00211,True,100
124513,Mehem,Rohtak,Haryana,suburban,FDH-00212,MST-00212,OLT-00212,False,100
124514,Mehem,Rohtak,Haryana,suburban,FDH-00213,MST-00213,OLT-00213,False,50
124524,Chiri,Rohtak,Haryana,suburban,FDH-00214,MST-00214,OLT-00214,False,50
125001,Hisar,Hisar,Haryana,urban,FDH-00215,MST-00215,OLT-00215,True,1000
125004,Hisar,Hisar,Haryana,suburban,FDH-00216,MST-00216,OLT-00216,True,500
125005,Hisar,Hisar,Haryana,urban,FDH-00217,MST-00217,OLT-00217,True,500
125006,Hisar,Hisar,Haryana,urban,FDH-00218,MST-00218,OLT-00218,True,1000
125007,Hisar,Hisar,Haryana,suburban,FDH-00219,MST-00219,OLT-00219,True,1000
125011,Hisar,Hisar,Haryana,suburban,FDH-00220,MST-00220,OLT-00220,True,200
125033,Hansi,Hisar,Haryana,rural,FDH-00221,MST-00221,OLT-00221,False,50
125037,Hisar,Hisar,Haryana,suburban,FDH-00222,MST-00222,OLT-00222,False,50
125038,Hansi,Hisar,Haryana,urban,FDH-00223,MST-00223,OLT-00223,True,1000
125039,Hansi,Hisar,Haryana,suburban,FDH-00224,MST-00224,OLT-00224,True,500
125042,Hansi,Hisar,Haryana,urban,FDH-00225,MST-00225,OLT-00225,True,1000
125044,Hisar,Hisar,Haryana,urban,FDH-00226,MST-00226,OLT-00226,True,500
125047,Hisar,Fatehabad,Haryana,suburban,FDH-00227,MST-00227,OLT-00227,True,500
125048,Fatehabad,Fatehabad,Haryana,suburban,FDH-00228,MST-00228,OLT-00228,True,500
125049,Hansi,Hisar,Haryana,rural,FDH-00229,MST-00229,OLT-00229,False,100
125050,Fatehabad,Fatehabad,Haryana,urban,FDH-00230,MST-00230,OLT-00230,True,1000
125051,Rattia,Fatehabad,Haryana,rural,FDH-00231,MST-00231,OLT-00231,True,200
125052,Hisar,Hisar,Haryana,urban,FDH-00232,MST-00232,OLT-00232,True,1000
125053,Fatehabad,Fatehabad,Haryana,urban,FDH-00233,MST-00233,OLT-00233,True,1000
125054,Sirsa,Sirsa,Haryana,urban,FDH-00234,MST-00234,OLT-00234,True,500
125055,Sirsa,Sirsa,Haryana,suburban,FDH-00235,MST-00235,OLT-00235,True,200
125056,Sirsa,Sirsa,Haryana,urban,FDH-00236,MST-00236,OLT-00236,True,100
125058,Sirsa,Sirsa,Haryana,urban,FDH-00237,MST-00237,OLT-00237,True,200
125060,Sirsa,Sirsa,Haryana,urban,FDH-00238,MST-00238,OLT-00238,True,500
125075,Sirsa,Sirsa,Haryana,urban,FDH-00239,MST-00239,OLT-00239,True,200
125076,Rania,Sirsa,Haryana,suburban,FDH-00240,MST-00240,OLT-00240,True,100
125077,Odhan,Sirsa,Haryana,rural,FDH-00241,MST-00241,OLT-00241,True,50
125078,Baragudha,Sirsa,Haryana,rural,FDH-00242,MST-00242,OLT-00242,False,50
125101,Na,Sirsa,Haryana,rural,FDH-00243,MST-00243,OLT-00243,False,200
125102,Sirsa,Sirsa,Haryana,suburban,FDH-00244,MST-00244,OLT-00244,True,100
125103,Sirsa,Sirsa,Haryana,urban,FDH-00245,MST-00245,OLT-00245,True,200
125104,Mandi Dabwali,Sirsa,Haryana,rural,FDH-00246,MST-00246,OLT-00246,True,100
125106,Tohana,Fatehabad,Haryana,rural,FDH-00247,MST-00247,OLT-00247,False,100
125110,Sirsa,Sirsa,Haryana,suburban,FDH-00248,MST-00248,OLT-00248,True,500
125111,Fatehabad,Fatehabad,Haryana,urban,FDH-00249,MST-00249,OLT-00249,True,500
125112,Hisar,Fatehabad,Haryana,rural,FDH-00250,MST-00250,OLT-00250,False,50
125113,Hisar,Hisar,Haryana,urban,FDH-00251,MST-00251,OLT-00251,False,500
125120,Tohana,Fatehabad,Haryana,suburban,FDH-00252,MST-00252,OLT-00252,True,50
125121,Hisar,Hisar,Haryana,suburban,FDH-00253,MST-00253,OLT-00253,True,50
125133,Tohana,Fatehabad,Haryana,rural,FDH-00254,MST-00254,OLT-00254,False,1000
125201,Kalanwali,Sirsa,Haryana,rural,FDH-00255,MST-00255,OLT-00255,False,100
126101,Jind,Jind,Haryana,suburban,FDH-00256,MST-00256,OLT-00256,True,200
126102,Jind,Jind,Haryana,urban,FDH-00257,MST-00257,OLT-00257,True,1000
126110,Jind,Jind,Haryana,suburban,FDH-00258,MST-00258,OLT-00258,True,200
126111,Jind,Jind,Haryana,suburban,FDH-00259,MST-00259,OLT-00259,False,1000
126112,Safidon,Jind,Haryana,rural,FDH-00260,MST-00260,OLT-00260,True,200
126113,Safidon,Jind,Haryana,rural,FDH-00261,MST-00261,OLT-00261,True,50
126114,Safidon,Jind,Haryana,rural,FDH-00262,MST-00262,OLT-00262,False,100
126115,Narwana,Jind,Haryana,rural,FDH-00263,MST-00263,OLT-00263,True,200
126116,Narwana,Jind,Haryana,suburban,FDH-00264,MST-00264,OLT-00264,True,200
126125,Jind,Jind,Haryana,suburban,FDH-00265,MST-00265,OLT-00265,False,200
126152,Jind,Jind,Haryana,suburban,FDH-00266,MST-00266,OLT-00266,False,200
127020,Bseh Bhiwani,Bhiwani,Haryana,rural,FDH-00267,MST-00267,OLT-00267,False,500
127021,Bhiwani,Bhiwani,Haryana,suburban,FDH-00268,MST-00268,OLT-00268,True,100
127022,Dadari,Charki Dadri,Haryana,rural,FDH-00269,MST-00269,OLT-00269,False,100
127025,Dadri,Charki Dadri,Haryana,rural,FDH-00270,MST-00270,OLT-00270,True,200
127026,Dadri,Charki Dadri,Haryana,suburban,FDH-00271,MST-00271,OLT-00271,False,200
127027,Bhiwani,Bhiwani,Haryana,urban,FDH-00272,MST-00272,OLT-00272,True,50
127028,Siwani,Bhiwani,Haryana,rural,FDH-00273,MST-00273,OLT-00273,False,50
127029,Bhiwani,Bhiwani,Haryana,urban,FDH-00274,MST-00274,OLT-00274,False,1000
127030,Biwani,Bhiwani,Haryana,rural,FDH-00275,MST-00275,OLT-00275,False,1000
127031,Bhiwani,Bhiwani,Haryana,suburban,FDH-00276,MST-00276,OLT-00276,True,50
127032,Bhiwani,Bhiwani,Haryana,suburban,FDH-00277,MST-00277,OLT-00277,True,200
127035,Bhiwani,Bhiwani,Haryana,suburban,FDH-00278,MST-00278,OLT-00278,True,200
127040,Bhiwani,Bhiwani,Haryana,suburban,FDH-00279,MST-00279,OLT-00279,True,50
127041,Bhiwani,Bhiwani,Haryana,urban,FDH-00280,MST-00280,OLT-00280,True,1000
127042,Charkhi Dadri,Charki Dadri,Haryana,urban,FDH-00281,MST-00281,OLT-00281,True,1000
127043,Bhiwani,Bhiwani,Haryana,urban,FDH-00282,MST-00282,OLT-00282,False,1000
127045,Siwani,Bhiwani,Haryana,rural,FDH-00283,MST-00283,OLT-00283,False,50
127046,Siwani,Bhiwani,Haryana,rural,FDH-00284,MST-00284,OLT-00284,False,100
127110,Ranila,Bhiwani,Haryana,rural,FDH-00285,MST-00285,OLT-00285,False,200
127111,Bhiwani,Bhiwani,Haryana,urban,FDH-00286,MST-00286,OLT-00286,True,200
127114,Bhiwani,Bhiwani,Haryana,urban,FDH-00287,MST-00287,OLT-00287,True,500
127201,Loharu,Bhiwani,Haryana,suburban,FDH-00288,MST-00288,OLT-00288,True,200
127306,Charkhi Dadri,Charki Dadri,Haryana,urban,FDH-00289,MST-00289,OLT-00289,True,1000
127307,Achina,Charki Dadri,Haryana,rural,FDH-00290,MST-00290,OLT-00290,False,100
127308,Dadri,Charki Dadri,Haryana,rural,FDH-00291,MST-00291,OLT-00291,True,100
127309,Bhiwani,Bhiwani,Haryana,urban,FDH-00292,MST-00292,OLT-00292,True,1000
127310,Dadri,Charki Dadri,Haryana,urban,FDH-00293,MST-00293,OLT-00293,True,100
131001,Sonipat,Sonipat,Haryana,suburban,FDH-00294,MST-00294,OLT-00294,True,500
131002,Bhatgaon,Sonipat,Haryana,rural,FDH-00295,MST-00295,OLT-00295,False,200
131021,Sonipat,Sonipat,Haryana,suburban,FDH-00296,MST-00296,OLT-00296,True,200
131022,Na,Sonipat,Haryana,rural,FDH-00297,MST-00297,OLT-00297,False,100
131023,Na,Sonipat,Haryana,urban,FDH-00298,MST-00298,OLT-00298,True,200
131024,Na,Sonipat,Haryana,suburban,FDH-00299,MST-00299,OLT-00299,True,1000
131027,Sonipat,Sonipat,Haryana,urban,FDH-00300,MST-00300,OLT-00300,True,200
